nm_regiao;sg_uf;nr_cpf_cnpj_doador;nm_doador_rfb;vr_receita;dt_carga
SUDESTE;SP;08746641000100;APPCIVICO CONSULTORIA LTDA;1398156,25;2022-11-10 01:05:09
SUDESTE;SP;35492333000160;DEMOCRATIZE TECNOLOGIA LTDA;1098626,99;2022-11-10 01:05:09
SUDESTE;SP;24642872000111;GENIAL IDEIAS E SOLUCOES LTDA;481222,17;2022-11-10 01:05:09
SUDESTE;SP;39586155000197;QUEROAPOIAR,COM,BR LTDA;375310,47;2022-11-10 01:05:09
SUDESTE;SP;11101280000140;RINOBOX SOLUCOES FINANCEIRAS LTDA;208672,55;2022-11-10 01:05:09
SUDESTE;SP;28067410000179;"ELEGIS GESTAO ESTRATEGICA; CONSULTORIA E TECNOLOGIA LTDA";36204,0;2022-11-10 01:05:09
SUDESTE;SP;19540550000121;ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S,A,;32174,73;2022-11-10 01:05:09
SUDESTE;SP;34490640000149;GMT TECNOLOGIA LTDA;29497,35;2022-11-10 01:05:09
SUDESTE;SP;16832957000134;UM A MAIS SERVICOS DE TECNOLOGIA E CONSULTORIA LTDA;15024,76;2022-11-10 01:05:09
SUDESTE;SP;15230418000162;"BETTER BRASIL COMUNICACAO; EDITORIA; PUBLICIDADE E REPRESENTACAO LTDA";1188,0;2022-11-10 01:05:09
SUDESTE;SP;23806528000158;AIXMOBIL SERVICOS E PARTICIPACOES LTDA;750,0;2022-11-10 01:05:09
